attempt_id,rim_frame,outcome,reached,note
1,326,make,rim,
2,620,make,rim,
3,852,miss,rim,
4,1075,make,rim,
5,1362,make,rim,
6,1675,make,rim,
7,1952,make,rim,
8,2505,miss,rim,
9,2816,miss,rim,
10,3074,miss,rim,
11,3337,make,rim,
12,3721,miss,rim,
13,4353,make,rim,
14,4632,make,rim,
15,4841,make,rim,
16,5092,miss,rim,
17,5242,miss,rim,
18,5433,make,rim,
19,5659,miss,rim,
20,6036,miss,rim,
21,6168,make,rim,
22,6685,miss,rim,
23,7259,make,rim,
24,7608,miss,rim,
25,7705,make,rim,
26,8390,miss,rim,
27,8546,miss,rim,
28,8803,make,rim,
29,9043,miss,rim,
30,9337,miss,rim,
31,9596,miss,rim,
32,9831,make,rim,
33,10059,make,rim,
34,10268,miss,rim,
35,10513,miss,rim,
36,10728,miss,rim,
37,11071,make,rim,
38,11402,make,rim,
39,11706,make,rim,
40,11930,make,rim,
43,12141,miss,airball,
42,12284,make,rim,
