attempt_id,rim_frame,outcome,reached,note
1,963,make,rim,
2,1126,miss,rim,
3,1443,miss,rim,
4,1829,miss,rim,
5,2063,make,rim,
6,2351,miss,rim,
7,2650,make,rim,
8,2988,make,rim,
9,3191,miss,rim,
10,3478,miss,rim,
11,3773,miss,rim,
12,3923,miss,rim,
13,4335,miss,rim,
14,4586,miss,rim,
15,4875,make,rim,
16,5307,make,rim,
17,5639,miss,rim,
18,5878,miss,rim,
19,6018,make,rim,
20,6326,miss,airball,
21,7114,make,rim,
22,7443,make,rim,
23,7723,make,rim,
24,7999,miss,rim,
25,8309,make,rim,
26,8553,make,rim,
27,8810,make,rim,
28,9329,miss,rim,
29,9569,miss,rim,
30,9795,miss,rim,
31,10049,miss,rim,
32,11306,miss,rim,
33,11507,make,rim,
34,11735,miss,rim,
35,12065,miss,rim,
36,12338,make,rim,
37,12627,make,rim,
38,12901,make,rim,
39,13103,make,rim,
40,13161,make,rim,
